sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92890>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-14 08:57:53 -0800,2016-11-14 08:30:57 -0800,2016-11-14 08:30:57 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c927f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-14 14:56:40 -0800,2016-11-14 14:55:00 -0800,2016-11-14 14:55:00 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92750>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-15 16:02:03 -0800,2016-11-15 15:55:36 -0800,2016-11-15 15:55:36 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c927a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-15 16:02:03 -0800,2016-11-15 15:55:51 -0800,2016-11-15 15:55:51 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92700>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-15 19:02:43 -0800,2016-11-15 17:59:52 -0800,2016-11-15 17:59:52 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92660>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-15 21:56:58 -0800,2016-11-15 21:39:44 -0800,2016-11-15 21:39:44 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c925c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-15 21:56:58 -0800,2016-11-15 21:40:04 -0800,2016-11-15 21:40:04 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92520>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-15 23:58:00 -0800,2016-11-15 23:46:16 -0800,2016-11-15 23:46:16 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c922f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-16 14:01:06 -0800,2016-11-16 13:17:28 -0800,2016-11-16 13:17:28 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92250>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-18 14:01:02 -0800,2016-11-18 12:58:50 -0800,2016-11-18 12:58:50 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c921b0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-18 14:59:51 -0800,2016-11-18 14:17:39 -0800,2016-11-18 14:17:39 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c922a0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-18 14:59:51 -0800,2016-11-18 14:17:49 -0800,2016-11-18 14:17:49 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4c92070>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-19 00:58:32 -0800,2016-11-19 00:53:03 -0800,2016-11-19 00:53:03 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9ad10>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-19 00:58:32 -0800,2016-11-19 00:56:05 -0800,2016-11-19 00:56:05 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9b940>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-19 17:58:22 -0800,2016-11-19 17:47:01 -0800,2016-11-19 17:47:01 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9ba80>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-19 17:58:22 -0800,2016-11-19 17:47:17 -0800,2016-11-19 17:47:17 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9be90>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-19 22:57:08 -0800,2016-11-19 22:24:21 -0800,2016-11-19 22:24:21 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9c2f0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-21 10:57:03 -0800,2016-11-21 10:01:59 -0800,2016-11-21 10:01:59 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9c5c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-21 10:57:03 -0800,2016-11-21 10:02:14 -0800,2016-11-21 10:02:14 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4e9ca20>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-22 18:57:10 -0800,2016-11-22 18:45:41 -0800,2016-11-22 18:45:41 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a86130>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-24 13:00:23 -0800,2016-11-24 12:45:25 -0800,2016-11-24 12:45:25 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a86360>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-26 21:00:08 -0800,2016-11-26 20:20:28 -0800,2016-11-26 20:20:28 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a86270>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-26 21:00:08 -0800,2016-11-26 20:20:55 -0800,2016-11-26 20:20:55 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a860e0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-26 21:00:08 -0800,2016-11-26 20:30:53 -0800,2016-11-26 20:30:53 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a86040>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-28 11:57:37 -0800,2016-11-28 10:55:54 -0800,2016-11-28 10:55:54 -0800,1
"Aditya’s iPhone","10.0.1","<<HKDevice: 0x1c4a84ec0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone9,1, software:10.0.1>","FlightsClimbed","count",2016-11-28 13:00:24 -0800,2016-11-28 11:57:05 -0800,2016-11-28 11:57:05 -0800,1
